GROUP,CODE,NAME,YEAR,ANTIGEN,ANTIGEN_DESCRIPTION,COVERAGE_CATEGORY,COVERAGE_CATEGORY_DESCRIPTION,TARGET_NUMBER,DOSES,COVERAGE
Countries,AFG,Afghanistan,2004,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,989037,22224,2.2
Countries,AFG,Afghanistan,2004,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1002889,605909,60
Countries,AFG,Afghanistan,2003,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,965857,480272,49.7
Countries,AFG,Afghanistan,2003,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,,,
Countries,AFG,Afghanistan,2002,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,,,
Countries,AFG,Afghanistan,2002,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,943215,412501,43.7
Countries,AFG,Afghanistan,2001,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,,,
Countries,AFG,Afghanistan,2001,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,747690,417192,56
Countries,AFG,Afghanistan,2000,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,,,
Countries,AFG,Afghanistan,2000,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,901328,319472,35
Countries,AFG,Afghanistan,2020,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,53.92
Countries,AFG,Afghanistan,2020,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,76.71
Countries,AFG,Afghanistan,2019,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,52
Countries,AFG,Afghanistan,2019,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,75
Countries,AFG,Afghanistan,2018,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,60
Countries,AFG,Afghanistan,2018,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,82
Countries,AFG,Afghanistan,2017,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,51
Countries,AFG,Afghanistan,2017,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,78
Countries,AFG,Afghanistan,2016,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,74.5
Countries,AFG,Afghanistan,2016,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,51.4
Countries,AFG,Afghanistan,2015,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,60
Countries,AFG,Afghanistan,2015,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,90
Countries,AFG,Afghanistan,2014,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,88
Countries,AFG,Afghanistan,2014,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,60
Countries,AFG,Afghanistan,2013,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,82
Countries,AFG,Afghanistan,2013,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,56
Countries,AFG,Afghanistan,2012,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,54
Countries,AFG,Afghanistan,2012,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,81
Countries,AFG,Afghanistan,2011,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,75
Countries,AFG,Afghanistan,2011,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,48
Countries,AFG,Afghanistan,2010,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,46
Countries,AFG,Afghanistan,2010,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,62
Countries,AFG,Afghanistan,2009,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,40
Countries,AFG,Afghanistan,2009,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,60
Countries,AFG,Afghanistan,2008,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,59
Countries,AFG,Afghanistan,2008,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,39
Countries,AFG,Afghanistan,2007,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,55
Countries,AFG,Afghanistan,2007,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,16
Countries,AFG,Afghanistan,2006,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,
Countries,AFG,Afghanistan,2006,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,53
Countries,AFG,Afghanistan,2005,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,
Countries,AFG,Afghanistan,2005,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,50
Countries,AFG,Afghanistan,2004,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,2.2
Countries,AFG,Afghanistan,2004,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,48
Countries,AFG,Afghanistan,2003,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,39
Countries,AFG,Afghanistan,2003,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,
Countries,AFG,Afghanistan,2002,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,35
Countries,AFG,Afghanistan,2002,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,
Countries,AFG,Afghanistan,2001,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,
Countries,AFG,Afghanistan,2001,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,37
Countries,AFG,Afghanistan,2000,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,27
Countries,AFG,Afghanistan,2000,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,
Countries,AFG,Afghanistan,2020,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,66
Countries,AFG,Afghanistan,2020,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,43
Countries,AFG,Afghanistan,2019,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,41
Countries,AFG,Afghanistan,2019,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,64
Countries,AFG,Afghanistan,2018,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,49
Countries,AFG,Afghanistan,2018,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,71
Countries,AFG,Afghanistan,2017,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,67
Countries,AFG,Afghanistan,2017,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,40
Countries,AFG,Afghanistan,2016,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,40
Countries,AFG,Afghanistan,2016,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,64
Countries,AFG,Afghanistan,2015,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,62
Countries,AFG,Afghanistan,2015,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,42
Countries,AFG,Afghanistan,2014,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,60
Countries,AFG,Afghanistan,2014,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,44
Countries,AFG,Afghanistan,2013,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,38
Countries,AFG,Afghanistan,2013,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,57
Countries,AFG,Afghanistan,2012,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,59
Countries,AFG,Afghanistan,2012,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,33
Countries,AFG,Afghanistan,2011,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,31
Countries,AFG,Afghanistan,2011,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,64
Countries,AFG,Afghanistan,2010,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,29
Countries,AFG,Afghanistan,2010,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,62
Countries,AFG,Afghanistan,2009,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,24
Countries,AFG,Afghanistan,2009,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,60
Countries,AFG,Afghanistan,2008,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,23
Countries,AFG,Afghanistan,2008,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,59
Countries,AFG,Afghanistan,2007,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,55
Countries,AFG,Afghanistan,2007,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,4
Countries,AFG,Afghanistan,2006,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,53
Countries,AFG,Afghanistan,2006,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,18
Countries,AFG,Afghanistan,2005,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,9
Countries,AFG,Afghanistan,2005,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,50
Countries,AFG,Afghanistan,2004,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,48
Countries,AFG,Afghanistan,2004,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,2
Countries,AFG,Afghanistan,2003,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,39
Countries,AFG,Afghanistan,2003,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,
Countries,AFG,Afghanistan,2002,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,
Countries,AFG,Afghanistan,2002,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,35
Countries,AFG,Afghanistan,2001,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,37
Countries,AFG,Afghanistan,2001,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,
Countries,AFG,Afghanistan,2000,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,27
Countries,AFG,Afghanistan,2000,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,
Countries,ALB,Albania,2020,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,29792,28025,94.07
Countries,ALB,Albania,2020,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,28075,25554,91.02
Countries,ALB,Albania,2019,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,32172,30957,96.22
Countries,ALB,Albania,2019,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,28064,26655,94.98
Countries,ALB,Albania,2018,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,29425,27677,94.06
Countries,ALB,Albania,2018,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,33086,31856,96.28
Countries,ALB,Albania,2017,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,30369,29052,95.66
Countries,ALB,Albania,2017,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,34217,33504,97.92
Countries,ALB,Albania,2016,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,31435,30280,96.3
Countries,ALB,Albania,2016,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,34480,33683,97.7
Countries,ALB,Albania,2015,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,35178,34387,98
Countries,ALB,Albania,2015,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,33032,32074,97
Countries,ALB,Albania,2014,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,34577,33816,97.8
Countries,ALB,Albania,2014,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,35083,34241,97.6
Countries,ALB,Albania,2013,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,36200,35730,98.7
Countries,ALB,Albania,2013,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,34400,33940,98.7
Countries,ALB,Albania,2012,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,36232,35683,98.48
Countries,ALB,Albania,2012,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,34237,33776,98.65
Countries,ALB,Albania,2011,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,35351,34995,98.9
Countries,ALB,Albania,2011,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,35428,35063,98.9
Countries,ALB,Albania,2010,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,34390,33874,98.5
Countries,ALB,Albania,2010,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,33891,33518,98.9
Countries,ALB,Albania,2009,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,38199,37477,98.1
Countries,ALB,Albania,2009,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,33686,32684,97
Countries,ALB,Albania,2008,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,35682,34986,98
Countries,ALB,Albania,2008,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,41381,40427,97.7
Countries,ALB,Albania,2007,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,37762,36717,97
Countries,ALB,Albania,2007,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,40326,38466,95.4
Countries,ALB,Albania,2006,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,46707,43671,93.9
Countries,ALB,Albania,2006,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,39230,37202,95
Countries,ALB,Albania,2005,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,42425,41238,97
Countries,ALB,Albania,2005,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,49335,47664,96.6
Countries,ALB,Albania,2004,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,50821,48625,95.7
Countries,ALB,Albania,2004,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,46495,44714,96.2
Countries,ALB,Albania,2003,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,54801,51055,93.2
Countries,ALB,Albania,2003,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,44022,41020,93.2
Countries,ALB,Albania,2002,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,54109,50450,93
Countries,ALB,Albania,2002,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,53087,50704,96
Countries,ALB,Albania,2001,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,39451,35098,88.9
Countries,ALB,Albania,2001,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,31627,30063,95
Countries,ALB,Albania,2000,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,,,
Countries,ALB,Albania,2000,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,44282,40506,91.5
Countries,ALB,Albania,2020,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,94.07
Countries,ALB,Albania,2020,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,91.02
Countries,ALB,Albania,2019,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,94.9
Countries,ALB,Albania,2019,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,96.2
Countries,ALB,Albania,2018,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,96.3
Countries,ALB,Albania,2018,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,94.1
Countries,ALB,Albania,2017,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,97.9
Countries,ALB,Albania,2017,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,95.7
Countries,ALB,Albania,2016,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,97.7
Countries,ALB,Albania,2016,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,96.3
Countries,ALB,Albania,2015,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,97.8
Countries,ALB,Albania,2015,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,97.1
Countries,ALB,Albania,2014,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,97.6
Countries,ALB,Albania,2014,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,97.8
Countries,ALB,Albania,2013,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,98.7
Countries,ALB,Albania,2013,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,98.7
Countries,ALB,Albania,2012,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,98.6
Countries,ALB,Albania,2012,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,98.4
Countries,ALB,Albania,2011,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,99
Countries,ALB,Albania,2011,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,99
Countries,ALB,Albania,2010,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,98.5
Countries,ALB,Albania,2010,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,98.9
Countries,ALB,Albania,2009,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,97
Countries,ALB,Albania,2009,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,98.1
Countries,ALB,Albania,2008,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,98
Countries,ALB,Albania,2008,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,97.7
Countries,ALB,Albania,2007,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,97
Countries,ALB,Albania,2007,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,95.4
Countries,ALB,Albania,2006,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,95
Countries,ALB,Albania,2006,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,93.9
Countries,ALB,Albania,2005,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,96.6
Countries,ALB,Albania,2005,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,97
Countries,ALB,Albania,2004,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,95.7
Countries,ALB,Albania,2004,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,96.2
Countries,ALB,Albania,2003,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,93.2
Countries,ALB,Albania,2003,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,93.2
Countries,ALB,Albania,2002,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,96
Countries,ALB,Albania,2002,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,93
Countries,ALB,Albania,2001,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,95
Countries,ALB,Albania,2001,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,90
Countries,ALB,Albania,2000,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,
Countries,ALB,Albania,2000,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,95
Countries,ALB,Albania,2020,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,91
Countries,ALB,Albania,2020,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,94
Countries,ALB,Albania,2019,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,96
Countries,ALB,Albania,2019,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,95
Countries,ALB,Albania,2018,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,96
